date,headlines,sentiment_label,sentiment_score
2026-06-05,History says there's one hedge that could shelter investors during a lost decade for stocks | SpaceX May Not Be Forced Into Your Pension Fund After All | SpaceX: Flying High on Impunity | Vintage Turntable Gets Brain Transplant and Home Assistant Integration,bearish,-0.6
2026-06-04,"Expect retail hype to make SpaceX stock especially volatile in early trading | The SpaceX IPO Will Be the Theft of the Century | Stocks are headed for an oil shock that investors won't be able to hide from, research firm says | Is Republic Services Stock Underperforming the S&P 500? | Is Welltower Stock Underperforming the S&P 500?",bearish,-0.6
2026-06-03,"Iran war threatens major food shortages in Africa, S&P warns | May hedge fund returns: Steve Cohen's Point72 leads the way among the industry's biggest names | 5 Things I Am Thinking About | Is Illinois Tool Works Stock Underperforming the S&P 500? | Kevin Warsh’s $8.6 Trillion Moment of Truth",bearish,-0.4
2026-06-02,"10 Tuesday AM Reads | Intuit Becomes S&P 500’s Worst Performer This Year: Here’s Why | Stock Market Today, June 2: Chipmakers Drive S&P 500 to Another Record Close | Is Sandisk Stock Outperforming the S&P 500? | Is Eaton Corporation Stock Underperforming the S&P 500?",bullish,0.6
2026-06-01,Wall Street Is Already Bending Its Rules to Suck More People Into SpaceX’s IPO | Can You Brave Through This FOUL And SOUR Bowl Of Sludge To Unscramble All The Daily Words? | Is Lam Research Stock Outperforming the S&P 500? | Is Boeing Company Stock Underperforming the S&P 500? | It’s not just tech stocks: The broad-based strength of the market right now gives investors reason to stay the course,bullish,0.6
2026-05-31,"Is Goldman Sachs Stock Underperforming the S&P 500? | Stock market today: Dow, S&P 500, Nasdaq waver as oil surges | Is Micron Technology Stock Outperforming the S&P 500? | Big Tech Is Suddenly Impacting Niche Market for US Dividends | Stock market today: Dow, S&P 500, Nasdaq futures are little changed after record-highs in May",neutral,0.1
2026-05-30,Is Intuit’s Stock Underperforming the S&P 500? | Is American Express Stock Underperforming the S&P 500? | 10 Weekend Reads | History Says the S&P 500’s 9-Week Rally Is Rare. It May Be Even Rarer Than You Think | Is Coca-Cola Stock Underperforming the S&P 500?,bearish,-0.4
2026-05-29,"Top analyst has harsh words for SpaceX debut: ‘We recommend that investors avoid this IPO’ | Investor Sentiment Declines, Leading to S&P Global (SPGI) Slide | Is Walmart Stock Underperforming the S&P 500? | Is Procter & Gamble Stock Underperforming the S&P 500? | US stocks gain ground, adding to their records, as Dell soars",neutral,0.2
2026-05-28,"Inflation rises but isn't hotter than expected while GDP slips | Is Berkshire Hathaway Stock Underperforming the S&P 500? | Stock market today: Dow, S&P 500, Nasdaq rise as Trump nears decision on Iran truce | Goldman Sachs Sees Two Risks Facing the Stock Market—Here's What To Know | Micron’s Cheap Stock Valuation Seen as a Contrarian Warning Sign",neutral,0.1
2026-05-27,"Financial app for managing Trump Accounts set to launch Thursday | Micron stock hits $1 trillion market cap, markets rise | Goldman pumps up its S&P 500 price target to 8,000 for the year as it eyes an earnings-fueled rally | Stock market today: Dow, S&P 500, Nasdaq futures drop following US strikes in Hormuz | Stock Index Futures Climb on AI Optimism and U.S.-Iran Peace Deal Hopes",bullish,0.6
2026-05-26,"Stock market today: Dow, S&P 500, Nasdaq futures hold steady during US-Iran talks | How a stock market ‘melt-up’ could carry the S&P 500 to 8,000 or beyond | Stock market today: S&P 500, Nasdaq jump to records as Micron tops $1 trillion market cap | Are Wall Street Analysts Predicting Williams-Sonoma Stock Will Climb or Sink? | The Stock Market Is at a 40-to-1 CAPE Ratio Seen Only Twice Before. 1929 and 1999 Preceded Crashes.",bullish,0.4
2026-05-25,S&P 500 Other Than AI Infrastructure Is Growing at 0%. Lance Roberts Warns What Happens if the AI Boom Stumbles. | F5 Stock: Is Wall Street Bullish or Bearish? | Equifax Stock: Is Wall Street Bullish or Bearish? | Are Wall Street Analysts Predicting Expand Energy Stock Will Climb or Sink? | Do Wall Street Analysts Like Intuit Stock?,bearish,-0.4
2026-05-24,CNBC Analyst Exposes the April 9 Pivot That Changed Everything for the S&P 500 | Goldman Sachs explains why stocks continue rallying despite Hormuz disruption and stagflation fears | Here's when SpaceX could show up in major indexes and popular ETFs after its IPO | Reconstructing a Mixbook movie from its data API with FFmpeg | Trump’s Iran War Reignited Stagflation Fears — and May’s Data Just Confirmed It,bullish,0.6
2026-05-23,"Why SpaceX defies valuations | How $700,000 Spread Across Four Preferred Stock ETFs Generates $42,000 a Year Even When the Stock Market Stalls | We’re Not in a Bubble. Wall Street Just Hasn’t Caught Up With the New ‘Physics’ of the Stock Market. | The 1 Tech Stock I Think Has More Upside Than Anything Else in the S&P 500 Right Now | Banking giant massively resets Jazz Pharma stock price target",bullish,0.8
2026-05-22,"JPMorgan outlines how the S&P 500 can soar more than 20% in the next year | Stock Market Today, May 22: S&P 500 Posts Eighth Straight Week of Gains | Best Stocks To Buy Now For June 2026 | Tom Lee says trillions in tech IPO supply won't crash the S&P 500 | S&P 500 Nears Longest Winning Streak Since 2023",bullish,0.8
2026-05-21,"SpaceX Officially Files IPO and Plans to Be Traded as ‘SPCX’ | Stock market today: Dow, S&P 500, Nasdaq advance as tech stocks gain, investors monitor US-Iran talks | Stocks Slip Before the Open as Oil Rises on U.S.-Iran Peace Deal Uncertainty, PMI Data in Focus | Stock market today: Dow, S&P 500, Nasdaq advance despite US-Iran uncertainty as strong earnings season wraps | Stock market today: S&P 500 notches longest weekly win streak since 2023, Dow climbs to record high",bullish,0.8
2026-05-20,"SpaceX will be worth trillions, but the space station that made it possible is worth even more — if we don’t squander it | Intuit To Lay Off Over 3,000 Employees To Refocus On AI | Vanguard S&P 500 ETF (VOO): Graham Stephan Likes This Index Fund | High oil prices could tip the economy into a recession by July, according to a Wall Street strategist | Stock market today: Dow, S&P 500, Nasdaq fall as oil prices rise on Iran peace talk doubts",bearish,-0.6
2026-05-19,"Stock market today: Dow, S&P 500, Nasdaq rise in countdown to Nvidia earnings | Stock market today: Dow, S&P 500, Nasdaq futures rise in countdown to Nvidia earnings | Stock market today: Dow, S&P 500, Nasdaq futures rise in countdown to Nvidia earnings | Stock market today: Dow, S&P 500, Nasdaq gain as oil prices fall, bond sell-off eases | Stocks Pressured by Tech Weakness and Rising Bond Yields",bullish,0.4
2026-05-18,"Stock market today: Dow, S&P 500, Nasdaq futures slide as rising yields keep up pressure | Stock market today: Dow, S&P 500, Nasdaq futures hit pause in wait for Hormuz update | Stock market today: Dow, S&P 500, Nasdaq drop amid rising bond yields | Why S&P Global Stock Topped the Market Today | Is Broadcom (AVGO) the Fastest Growing S&P 500 Stock to Buy Now?",bearish,-0.6
2026-05-17,"Volatile Chipmaker Stocks Emerge as Key Driver of S&P 500 Rally | Goldman Sachs Says Strong Q1 Earnings Momentum Is Supporting Fresh S&P 500 Highs | One Low-Cost ETF For Europe, Japan, And A Lot Of Stocks Americans Ignore | Why Advisors Are Betting on AI Infrastructure Over Apps | Investors eye Nvidia, bond yields, and the next commodity supercycle: What to watch this week",bullish,0.8
2026-05-16,"This sector is joining memory stocks as the next frontier of the AI trade | Jefferies Says AI Rally Remains Supported by Strong Earnings Growth | Cathie Wood sells $40.6 million of popular semiconductor stock | Uncover the Dominance: This Surprising Investment Outshines the S&P 500 with Steady, Impressive Gains | Ben Carlson Says Skip the Luxury Car and House Hunt Smart. That’s Real Inflation Protection.",bullish,0.8
2026-05-15,California Proposes Software Tax More Suited to the Modern Era | Global shares drop as bond yields jump on inflation worries | S&P Global Stock: Is Wall Street Bullish or Bearish? | Are Wall Street Analysts Bullish on DexCom’s Stock? | Are Wall Street Analysts Bullish on Lowe's Stock?,neutral,0.1
2026-05-14,"Dow closes above 50,000 as investors eye Trump-Xi summit | Stocks Push Higher on Strength in Tech and a Solid US Retail Sales Report | S&P 500 Soars To New Record High—Closes Above 7,500 For First Time | Stocks Rise Before the Open as Tech Rally Rolls On, U.S. Retail Sales Data and Trump-Xi Summit in Focus | Is Wall Street Bullish or Bearish on Costco Wholesale Stock?",bullish,0.9
2026-05-13,"At The Money: Is SpaceX IPO Breaking Capitalism? | Housing Stocks Are in Depression Mode. Whirlpool Down 81%, Lennar Crashed 54% While the S&P 500 Soars. | Stock market today: Dow, S&P 500, Nasdaq futures climb as high-stakes Trump-Xi summit kicks off | S&P 500 and Nasdaq 100 Post New Record Highs on Chip Stock Strength | Stocks Pressured by Signs of Resurgent Inflation",neutral,0.1
2026-05-12,"Stock market today: S&P 500, Nasdaq hit record highs as tech rallies despite strong inflation data | Is Wall Street Bullish or Bearish on GE HealthCare Technologies Stock? | Stock market today: Dow slides, S&P 500 and Nasdaq rise as PPI inflation data comes in hot | Stock market today: S&P 500, Nasdaq futures rise, Dow slips with fresh PPI inflation data on deck | Is the S&P 500 Now Your Portfolio’s Biggest Risk?",bullish,0.6
2026-05-11,"President Trump Plans to Reduce Tariffs on Cheap Beef Imports. Is He Treating the Symptom, Not the Disease? | Stock market today: Nasdaq, S&P 500, Dow fall as Wall Street weighs CPI inflation print | Stock market today: Nasdaq, S&P 500, Dow fall as CPI inflation rises, chip stocks drop | Stock market today: Nasdaq, S&P 500 fall as CPI inflation rises, chip stocks drop | Is Wall Street Bullish or Bearish on Live Nation Stock?",bearish,-0.6
2026-05-10,"18 of the best major companies in the US for maternity leave | ‘Americans are literally getting squeezed’: A top economist on why your wages are disappearing while the rich keep booking vacations | Abstract Machines for Logic Programs | Market guru Yardeni sees S&P 500 hitting 8,250 this year, highest among top Wall Street forecasters, as earnings bolster ‘Roaring 2020s’ | Stock market today: S&P 500, Nasdaq, Dow futures drop as Trump rejects Iranian peace proposal",bullish,0.4
2026-05-09,I retired early from Google after 18 years. My grandfather's advice helped me invest enough to leave my job at 55. | Franklin Templeton’s bold S&P 500 call stuns Wall Street | Do Wall Street Analysts Like Carrier Global Stock? | Baird Revises McDonald’s (MCD) Outlook after Earnings Update | Is Applied Materials (AMAT) One of the Best Inflation-Hedge Stocks to Buy for 2026?,bullish,0.6
2026-05-08,A top Wall Street firm has a new seasonal trading motto: 'Sell in July for a Big October Buy' | These hedge funds crushed it in April — and a key Liberation Day lesson helped them | Hershey Stock Outlook: Is Wall Street Bullish or Bearish? | A simple point about diversification | When is your birthday? The math behind hash collisions,bullish,0.4
